player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,position_group
A. Saint-Maximin,Lens,"LW, LAMF, AMF",28.0,18000000,2026-06-30,16,907,3,1.53,France,"France, Guadeloupe",direito,173,67,sim,1.98,2.18,63.64,0.2,0.0,0.3,0.43,0.0,0.3,0.43,0.99,3.0,0.3,0.0,0.0,7.44,0.3,3.0,0.3,0.15,0.0,0.0,28.0,2.78,35.71,10.714,2.0,0.2,1.21,0.12,4.07,39.02,8.83,53.93,18.06,46.7,2.68,4.47,36.52,77.17,9.92,78.0,6.65,91.04,13.4,76.3,2.18,40.91,20.29,31.37,0.0,0.1,0.2,50.0,1.19,4.66,76.6,5.76,58.62,0.99,20.0,2.18,1.59,7.14,84.72,Forward
Sergio Canales,Monterrey,"AMF, CF, RAMF",35.0,10000000,2026-06-30,28,2586,13,6.98,Spain,Spain,esquerdo,178,72,sim,2.33,1.74,62.0,1.22,14.29,0.17,0.25,0.0,1.08,1.57,0.42,2.0,0.07,0.0,0.0,3.13,0.45,11.0,0.38,0.24,1.0,0.03,76.0,2.65,36.84,17.105,5.0,0.17,5.12,0.18,2.09,43.33,1.98,59.65,10.06,40.83,1.95,2.96,45.21,84.45,10.79,66.13,12.01,95.36,14.58,88.78,3.27,63.83,18.32,37.16,0.03,0.07,0.42,16.67,0.56,6.79,70.77,3.9,53.57,0.9,30.77,1.25,0.84,5.67,82.82,Forward
J. Brunetta,Tigres UANL,"AMF, RCMF, RDMF",28.0,10000000,2027-12-31,33,2718,14,8.55,Argentina,"Argentina, Italy",direito,178,68,sim,4.04,3.54,50.47,0.79,37.5,0.3,0.42,0.13,1.95,2.76,1.13,7.0,0.23,0.0,0.0,3.25,0.46,11.0,0.36,0.28,1.0,0.03,85.0,2.81,35.29,16.471,4.0,0.13,4.93,0.16,0.93,46.43,2.68,61.73,8.21,46.77,1.72,2.05,42.48,86.83,10.07,74.34,7.72,96.14,18.25,88.57,4.4,69.17,19.62,39.87,0.07,0.03,0.23,71.43,0.63,6.92,80.38,2.62,54.43,0.89,44.44,1.39,0.43,5.79,84.0,Midfielder
Álvaro Fidalgo,Real Betis,"LCMF, AMF, DMF",28.0,8000000,2030-06-30,21,1660,1,0.78,Spain,Spain,direito,172,67,sim,5.2,3.96,76.71,0.98,38.89,0.0,0.0,0.05,2.17,3.19,0.22,1.0,0.05,0.0,0.0,1.79,0.05,1.0,0.05,0.04,0.0,0.0,14.0,0.76,28.57,7.143,0.0,0.0,0.95,0.05,0.98,33.33,1.57,65.52,5.48,50.5,0.76,2.71,68.58,90.12,20.17,84.14,11.33,95.22,26.13,93.36,5.26,61.86,17.84,36.05,0.11,0.05,0.38,57.14,0.22,13.23,85.66,2.77,50.98,1.14,47.62,1.14,0.38,9.7,82.12,Midfielder
C. Rodríguez,Cruz Azul,"LCMF, AMF",29.0,7000000,2029-12-31,31,2502,6,2.59,Mexico,Mexico,direito,171,65,sim,4.31,3.62,58.59,1.13,38.71,0.07,0.12,0.04,2.12,3.43,0.66,4.0,0.14,0.0,0.0,3.18,0.22,6.0,0.22,0.09,1.0,0.04,30.0,1.1,50.0,20.0,3.0,0.11,4.55,0.17,2.67,49.32,1.72,59.57,4.49,44.72,1.75,4.42,51.36,83.29,17.64,72.05,8.55,96.15,16.88,86.8,5.33,56.16,18.43,36.73,0.22,0.04,0.55,53.33,0.88,7.96,67.89,6.28,56.98,2.08,40.35,2.34,1.24,9.9,85.98,Midfielder
Helinho,Toluca,"RW, RAMF, CF",25.0,7000000,2028-12-31,18,1091,9,5.8,Brazil,Brazil,esquerdo,175,66,sim,3.96,3.3,62.5,0.66,0.0,0.08,0.13,0.0,1.81,2.96,0.99,4.0,0.33,0.0,0.0,8.99,0.74,5.0,0.41,0.48,0.0,0.0,50.0,4.12,32.0,18.0,5.0,0.41,4.81,0.4,4.45,44.44,8.58,59.62,17.32,43.33,2.64,4.45,37.62,81.58,7.26,76.14,9.49,93.04,12.21,80.41,2.89,42.86,18.53,31.1,0.16,0.16,0.74,77.78,1.57,4.95,78.33,4.78,56.9,1.32,50.0,1.57,1.73,6.35,92.21,Forward
S. Cáceres,América,"RCB, LCB",26.0,7000000,2027-06-30,23,2152,0,0.61,Uruguay,Uruguay,direito,180,77,sim,7.32,6.32,71.52,3.3,53.16,0.17,0.23,0.33,2.63,3.59,1.05,6.0,0.25,0.0,0.0,0.29,0.0,0.0,0.0,0.03,0.0,0.0,3.0,0.13,33.33,0.0,0.0,0.0,0.3,0.01,0.04,0.0,0.38,66.67,2.13,62.75,0.59,1.09,47.22,87.95,19.66,79.79,2.72,93.85,20.2,94.41,5.56,47.37,20.38,38.05,0.04,0.0,0.0,0.0,0.0,5.19,70.16,0.54,15.38,0.25,33.33,0.13,0.0,7.7,66.85,Defender
V. Guzmán,Monterrey,RCB,24.0,7000000,2028-06-30,22,1677,1,0.35,Mexico,Mexico,direito,182,83,sim,7.73,4.51,66.67,2.63,59.18,0.11,0.16,0.59,4.62,7.01,0.7,1.0,0.05,1.0,0.05,0.32,0.05,1.0,0.05,0.02,1.0,0.05,6.0,0.32,33.33,16.667,0.0,0.0,0.18,0.01,0.27,20.0,0.43,37.5,1.4,42.31,0.43,1.5,45.67,89.19,18.3,83.28,3.49,95.38,19.75,95.11,4.99,54.84,21.41,39.63,0.0,0.0,0.0,0.0,0.0,6.6,73.17,0.43,12.5,0.38,14.29,0.11,0.11,8.32,70.97,Defender
U. Antuna,Pumas UNAM,"RW, RAMF, LW",28.0,6500000,2028-06-30,21,631,0,1.24,Mexico,Mexico,direito,174,64,sim,4.85,3.85,48.15,2.0,35.71,0.57,0.81,0.14,2.42,3.45,1.14,1.0,0.14,0.0,0.0,4.28,0.0,0.0,0.0,0.18,0.0,0.0,9.0,1.28,55.56,0.0,1.0,0.14,2.14,0.31,4.85,44.12,3.0,47.62,5.13,44.44,3.42,1.85,26.39,75.14,4.85,70.59,5.71,90.0,9.98,70.0,1.14,62.5,22.6,11.15,0.0,0.0,0.0,0.0,1.43,2.0,64.29,3.57,52.0,0.14,100.0,1.0,2.0,3.42,79.17,Forward
É. Gutiérrez,Guadalajara,"LCMF, LDMF",30.0,6000000,2027-06-30,13,825,0,0.25,Mexico,Mexico,esquerdo,181,79,sim,5.67,7.2,60.61,2.62,50.0,0.22,0.35,0.0,1.09,1.74,1.53,5.0,0.55,0.0,0.0,0.76,0.0,0.0,0.0,0.03,0.0,0.0,9.0,0.98,11.11,0.0,2.0,0.22,1.12,0.12,1.09,40.0,0.44,50.0,3.38,41.94,0.22,0.33,43.85,88.81,14.62,76.12,7.2,96.97,14.95,94.16,3.16,55.17,17.05,28.91,0.0,0.11,0.0,0.0,0.22,6.65,75.41,2.18,45.0,0.22,50.0,0.76,0.33,6.44,76.27,Midfielder
L. Romo,Guadalajara,"CB, RCMF, RCB",30.0,6000000,,24,2345,1,1.44,Mexico,Mexico,direito,184,79,sim,9.29,5.6,69.86,3.88,57.43,0.15,0.21,0.42,5.22,7.26,0.73,5.0,0.19,1.0,0.04,0.84,0.04,1.0,0.04,0.06,0.0,0.0,21.0,0.81,23.81,4.762,1.0,0.04,0.61,0.02,0.54,21.43,0.77,65.0,2.61,47.06,0.96,1.27,55.8,84.87,22.41,73.63,3.88,97.03,23.99,92.96,10.71,62.01,23.11,40.96,0.08,0.08,0.12,33.33,0.04,9.63,67.33,1.96,39.22,1.38,44.44,0.65,0.08,11.97,78.85,Midfielder
F. Beltrán,León,"AMF, LDMF, LCMF",27.0,6000000,2026-12-31,23,1721,1,0.49,Mexico,Mexico,direito,163,64,sim,4.86,3.92,65.33,0.31,33.33,0.26,0.35,0.1,2.04,2.72,0.58,3.0,0.16,0.0,0.0,1.41,0.05,1.0,0.05,0.03,0.0,0.0,7.0,0.37,28.57,14.286,1.0,0.05,2.22,0.12,0.84,37.5,1.67,53.13,6.01,41.74,0.84,1.62,43.67,87.54,12.03,76.96,6.9,95.45,15.79,90.73,2.88,67.27,17.21,35.16,0.05,0.0,0.16,66.67,0.37,5.23,81.0,1.67,59.38,0.58,54.55,0.78,0.37,4.92,74.47,Midfielder
Óliver Torres,Monterrey,"RCMF, AMF, LDMF",31.0,6000000,2027-06-30,28,2357,1,1.07,Spain,Spain,direito,175,70,sim,7.14,5.23,62.77,0.73,26.32,0.19,0.28,0.15,3.67,5.35,0.57,5.0,0.19,1.0,0.04,1.91,0.04,1.0,0.04,0.04,1.0,0.04,16.0,0.61,25.0,6.25,6.0,0.23,4.65,0.18,2.02,45.28,1.22,65.63,4.47,46.15,1.03,1.11,52.54,87.65,15.46,81.73,8.48,95.05,19.13,89.62,5.92,65.81,18.06,33.61,0.08,0.08,0.08,50.0,0.73,8.36,80.82,2.98,57.69,0.65,47.06,1.03,0.88,7.83,87.32,Midfielder
G. Arteaga,Monterrey,LB,27.0,6000000,2027-12-31,30,2562,1,1.85,Mexico,Mexico,esquerdo,175,68,sim,5.3,4.46,55.12,0.74,38.1,0.07,0.1,0.07,2.78,3.99,0.7,3.0,0.11,0.0,0.0,1.72,0.04,1.0,0.04,0.07,1.0,0.04,15.0,0.53,33.33,6.667,1.0,0.04,1.29,0.05,1.86,39.62,1.83,42.31,4.74,34.81,1.41,1.44,35.13,87.1,11.56,81.76,8.96,98.82,8.11,84.42,1.79,47.06,16.67,27.86,0.0,0.0,0.04,100.0,0.21,3.13,82.02,1.72,40.82,0.14,50.0,0.46,0.67,5.23,70.47,Defender
A. Vega,Toluca,"LW, CF, LWF",28.0,5500000,,15,1064,4,3.57,Mexico,Mexico,direito,173,77,sim,2.79,4.14,44.9,0.34,25.0,0.08,0.11,0.0,0.85,1.13,1.52,3.0,0.25,0.0,0.0,5.16,0.34,3.0,0.25,0.3,0.0,0.0,30.0,2.54,30.0,13.333,9.0,0.76,5.14,0.43,2.11,48.0,7.02,45.78,15.9,38.83,2.45,5.08,37.81,79.87,10.15,65.83,6.94,92.68,14.8,84.0,3.55,71.43,18.75,39.4,0.08,0.08,0.25,66.67,1.35,6.01,69.01,4.48,71.7,0.85,80.0,2.96,0.93,7.7,84.62,Forward
K. Álvarez,América,"RB, RWB",27.0,5500000,2027-06-30,23,1976,1,1.24,Mexico,Mexico,direito,178,71,sim,6.38,5.06,61.26,1.82,52.5,0.09,0.13,0.32,3.19,4.4,1.14,1.0,0.05,0.0,0.0,1.82,0.05,1.0,0.05,0.06,0.0,0.0,20.0,0.91,35.0,5.0,1.0,0.05,1.47,0.07,3.14,18.84,2.05,42.22,4.96,37.61,1.73,2.41,29.92,76.71,7.97,65.14,9.7,95.77,8.15,70.95,1.59,45.71,18.05,24.26,0.0,0.0,0.05,100.0,0.14,2.6,75.44,2.46,27.78,0.05,0.0,0.27,0.77,4.87,57.94,Forward
L. Malagón,América,GK,29.0,5500000,2027-06-30,26,2635,0,0.0,Mexico,Mexico,direito,180,78,sim,0.92,0.17,60.0,0.24,85.71,0.0,0.0,0.0,0.82,1.19,0.03,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,18.85,86.78,9.8,76.66,0.0,0.0,8.2,98.33,6.35,63.98,31.04,46.72,0.0,0.0,0.0,0.0,0.03,0.89,26.92,0.1,0.0,0.03,0.0,0.0,0.0,4.41,65.89,Goalkeeper
L. Romero,Cruz Azul,"LW, AMF, LCMF",21.0,5000000,2030-06-30,28,1246,2,1.62,Argentina,"Argentina, Spain",esquerdo,169,64,sim,5.68,4.73,71.67,1.66,23.81,0.39,0.68,0.08,1.89,3.24,0.55,2.0,0.14,1.0,0.07,2.29,0.14,2.0,0.16,0.13,1.0,0.08,29.0,2.29,31.03,6.897,2.0,0.16,0.97,0.08,1.26,56.25,2.05,42.31,7.18,41.76,2.37,2.37,26.5,87.2,5.44,79.71,6.55,95.18,9.31,90.68,0.95,66.67,15.14,12.45,0.0,0.0,0.0,0.0,0.39,2.37,96.67,1.03,46.15,0.0,0.0,0.63,0.39,2.21,64.29,Forward
N. Ibáñez,Cruz Azul,CF,31.0,5000000,2026-12-31,22,1162,5,5.34,Argentina,Argentina,direito,178,80,sim,1.99,2.82,38.24,5.96,31.94,0.08,0.12,0.08,0.83,1.2,2.15,3.0,0.23,0.0,0.0,1.99,0.39,5.0,0.41,0.44,1.0,0.08,29.0,2.4,37.93,17.241,1.0,0.08,0.52,0.04,0.58,100.0,0.99,50.0,4.14,30.0,3.48,0.58,11.92,75.0,1.57,42.11,4.06,91.84,3.06,75.68,0.41,40.0,14.1,9.66,0.0,0.0,0.0,0.0,0.17,0.75,33.33,0.41,40.0,0.0,0.0,0.33,0.5,0.5,50.0,Forward
F. Pereira,Toluca,"LCB, RCB, CB",26.0,5000000,2028-06-30,32,2923,3,4.99,Uruguay,Uruguay,direito,185,84,sim,8.99,6.34,74.27,4.77,60.0,0.12,0.18,0.25,4.16,6.05,1.32,8.0,0.25,0.0,0.0,0.49,0.09,3.0,0.09,0.15,1.0,0.03,32.0,0.99,21.88,9.375,0.0,0.0,0.9,0.03,0.06,50.0,0.34,72.73,1.39,53.33,1.02,0.8,51.51,89.72,22.05,81.98,3.23,96.19,21.12,96.06,4.56,45.95,20.9,43.13,0.03,0.0,0.03,0.0,0.06,7.17,72.53,0.4,23.08,0.22,0.0,0.12,0.03,9.48,77.27,Defender
J. Rodríguez,Minnesota United,"AMF, RAMF, CF",34.0,5000000,2026-06-30,14,1096,3,4.28,Colombia,"Colombia, Spain",esquerdo,180,75,sim,2.05,1.64,45.0,0.74,44.44,0.16,0.22,0.0,1.15,1.51,0.16,1.0,0.08,0.0,0.0,3.28,0.25,0.0,0.0,0.35,0.0,0.0,25.0,2.05,44.0,12.0,2.0,0.16,2.6,0.21,3.04,32.43,2.71,51.52,8.13,40.4,1.15,0.9,52.31,80.22,18.31,73.99,7.72,94.68,18.8,82.1,6.32,64.94,20.66,38.46,0.0,0.0,0.16,0.0,0.9,11.09,79.26,5.42,40.91,1.56,31.58,0.99,1.23,10.76,82.44,Forward
B. Méndez,Toluca,RCB,26.0,5000000,2027-06-30,22,1849,1,1.06,Uruguay,"Uruguay, Italy",direito,184,78,sim,6.52,4.77,78.57,3.26,62.69,0.15,0.21,0.54,2.63,3.75,0.63,3.0,0.15,1.0,0.05,0.29,0.05,1.0,0.05,0.05,0.0,0.0,6.0,0.29,50.0,16.667,0.0,0.0,0.14,0.01,0.34,28.57,0.15,33.33,0.44,44.44,0.39,0.44,41.57,89.11,17.04,81.43,1.8,83.78,18.55,95.8,4.33,51.69,21.92,40.0,0.0,0.05,0.0,0.0,0.05,5.6,81.74,0.49,20.0,0.19,25.0,0.05,0.15,8.03,76.36,Defender
Nathan Silva,Pumas UNAM,RCB,28.0,5000000,2027-06-30,28,2842,0,2.25,Brazil,Brazil,direito,182,84,sim,6.97,3.58,76.11,2.95,38.71,0.06,0.08,0.41,4.18,5.55,0.6,4.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.0,10.0,0.32,20.0,0.0,0.0,0.0,0.03,0.0,0.1,0.0,0.06,100.0,0.86,44.44,0.32,0.92,47.6,91.22,19.29,84.24,1.96,95.16,22.77,97.64,4.4,53.96,21.35,40.22,0.0,0.0,0.06,0.0,0.0,6.37,78.61,0.29,11.11,0.29,22.22,0.03,0.0,8.14,77.43,Defender
I. Reyes,América,"RCB, LDMF",25.0,5000000,2026-12-31,26,2484,0,1.52,Mexico,Mexico,direito,179,73,sim,6.56,3.84,68.87,2.72,64.0,0.14,0.21,0.36,3.77,5.39,0.65,2.0,0.07,0.0,0.0,0.43,0.0,0.0,0.0,0.05,0.0,0.0,17.0,0.62,29.41,0.0,0.0,0.0,0.14,0.01,0.25,57.14,0.11,100.0,1.16,40.63,0.72,0.98,51.23,87.77,20.58,79.4,2.72,97.33,22.57,93.58,8.26,55.26,22.7,41.96,0.04,0.0,0.0,0.0,0.04,9.57,74.24,1.2,33.33,0.72,30.0,0.22,0.14,11.34,76.36,Midfielder
A. Cervantes,América,"LCMF, RCMF, RDMF",28.0,5000000,,15,647,1,0.59,Mexico,Mexico,direito,181,69,sim,3.76,3.89,67.86,1.25,66.67,0.42,0.64,0.0,0.7,1.07,0.28,1.0,0.14,0.0,0.0,0.7,0.14,1.0,0.14,0.08,0.0,0.0,5.0,0.7,40.0,20.0,0.0,0.0,0.06,0.01,0.42,0.0,0.56,75.0,3.06,40.91,0.97,0.83,44.23,93.08,11.27,91.36,6.96,98.0,17.67,95.28,1.39,90.0,16.46,13.79,0.0,0.0,0.14,0.0,0.0,5.98,90.7,0.42,33.33,0.28,0.0,0.14,0.0,4.03,86.21,Midfielder
J. Rodríguez,Monterrey,"DMF, RDMF, LDMF",30.0,5000000,2027-06-30,27,2057,1,0.8,Argentina,Argentina,direito,179,80,sim,9.32,7.57,60.12,1.62,59.46,0.48,0.69,0.35,4.29,6.11,1.84,4.0,0.18,2.0,0.09,0.53,0.04,1.0,0.04,0.03,0.0,0.0,17.0,0.74,29.41,5.882,0.0,0.0,0.39,0.02,0.13,66.67,0.31,71.43,2.06,55.32,0.53,0.53,45.37,88.72,13.48,75.97,5.34,96.72,20.39,94.42,3.63,65.06,18.63,34.7,0.04,0.04,0.0,0.0,0.04,7.22,77.58,1.01,21.74,0.31,28.57,0.18,0.09,7.04,73.91,Midfielder
O. Campos,Cruz Azul,"LB, RWB, RB",23.0,4500000,2027-12-31,25,1239,1,0.77,Mexico,Mexico,esquerdo,174,65,sim,6.85,5.37,63.77,1.09,57.14,0.23,0.38,0.16,3.19,5.19,0.62,0.0,0.0,0.0,0.0,3.74,0.07,1.0,0.08,0.06,0.0,0.0,7.0,0.54,57.14,14.286,0.0,0.0,1.05,0.08,3.43,29.55,3.27,73.81,6.7,52.33,2.1,3.19,31.14,79.5,8.1,68.27,8.56,95.45,9.58,79.67,1.79,65.22,18.68,23.28,0.16,0.0,0.08,0.0,0.39,1.95,88.0,2.88,40.54,0.08,0.0,0.54,1.01,4.9,58.73,Forward
V. Guzmán,Pachuca,"AMF, CF, LCMF",31.0,4500000,2026-06-30,26,1170,1,2.11,Mexico,Mexico,direito,175,77,sim,5.23,4.31,60.71,2.15,35.71,0.08,0.11,0.23,2.54,3.65,1.23,0.0,0.0,1.0,0.08,2.77,0.08,1.0,0.08,0.16,0.0,0.0,21.0,1.62,33.33,4.762,5.0,0.38,2.13,0.16,3.15,39.02,1.31,76.47,5.23,42.65,1.69,1.46,41.46,84.42,11.23,78.08,7.69,93.0,14.38,81.82,3.0,56.41,17.53,23.78,0.15,0.08,0.0,0.0,0.38,6.77,81.82,3.77,44.9,0.77,40.0,0.92,1.15,5.54,90.28,Forward
A. Carrasquilla,Pumas UNAM,"LCMF, RCMF, LDMF",27.0,4500000,2027-12-31,26,2209,2,1.35,Panama,Panama,direito,170,64,sim,4.56,3.75,53.26,0.94,47.83,0.16,0.22,0.24,2.4,3.28,1.39,8.0,0.33,0.0,0.0,1.67,0.08,2.0,0.08,0.05,0.0,0.0,20.0,0.81,30.0,10.0,5.0,0.2,3.65,0.15,0.94,21.74,1.67,60.98,8.11,46.73,1.51,2.36,42.66,80.8,13.24,69.85,6.27,93.51,17.4,85.95,4.6,58.41,18.92,35.82,0.04,0.04,0.57,35.71,0.45,7.54,75.68,3.26,41.25,1.06,30.77,1.26,0.2,6.07,79.19,Midfielder
F. Ambríz,Monterrey,"RCMF, LCMF, RDMF",22.0,4500000,2028-06-30,24,1738,1,2.74,Mexico,Mexico,direito,172,68,sim,7.04,6.47,59.2,2.28,36.36,0.21,0.29,0.16,3.0,4.2,1.14,1.0,0.05,0.0,0.0,0.62,0.05,1.0,0.05,0.14,0.0,0.0,19.0,0.98,31.58,5.263,0.0,0.0,0.29,0.01,0.16,0.0,0.72,35.71,2.85,30.91,0.78,0.57,40.65,90.32,10.98,82.08,6.32,96.72,15.54,94.33,2.02,64.1,16.49,26.99,0.1,0.05,0.05,100.0,0.1,4.97,90.63,0.78,40.0,0.05,100.0,0.47,0.0,4.87,72.34,Midfielder
Rodrigo Dourado,América,"RDMF, DMF, RCMF",31.0,4500000,2027-06-30,25,2068,0,0.72,Brazil,Brazil,direito,188,74,sim,8.09,6.05,61.15,3.44,63.29,0.65,0.86,0.39,3.74,4.93,1.83,8.0,0.35,1.0,0.04,0.57,0.0,0.0,0.0,0.03,0.0,0.0,10.0,0.44,50.0,0.0,1.0,0.04,0.48,0.02,0.0,0.0,0.48,72.73,2.35,42.59,0.87,0.48,37.73,90.66,12.53,80.21,4.61,98.11,14.54,96.71,1.7,58.97,16.54,25.13,0.0,0.0,0.0,0.0,0.09,5.22,81.67,0.48,54.55,0.22,40.0,0.26,0.0,5.31,82.79,Midfielder
I. Lichnovsky,Fatih Karagümrük,"LCB, CB",31.0,4000000,2027-06-30,8,657,1,0.95,Chile,"Chile, Austria",direito,188,80,sim,7.12,3.15,52.17,3.84,53.57,0.0,0.0,0.82,5.48,7.27,0.96,1.0,0.14,0.0,0.0,0.14,0.14,1.0,0.14,0.13,0.0,0.0,4.0,0.55,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,50.0,0.82,0.82,41.64,92.43,10.82,81.01,3.97,93.1,21.64,97.47,3.29,62.5,19.23,26.0,0.0,0.0,0.0,0.0,0.0,5.75,80.95,0.55,25.0,0.55,0.0,0.27,0.0,4.66,67.65,Defender
C. Cowell,New York RB,"CF, LWB",22.0,4000000,2027-06-30,14,649,2,0.69,United States,"United States, Mexico",direito,182,76,sim,3.61,4.85,45.71,3.05,45.45,0.28,0.36,0.14,1.11,1.43,1.94,1.0,0.14,0.0,0.0,4.16,0.28,2.0,0.28,0.1,1.0,0.14,13.0,1.8,30.77,15.385,0.0,0.0,0.09,0.01,3.33,45.83,5.96,34.88,13.04,25.53,1.53,1.94,16.78,72.73,2.91,57.14,3.74,96.3,6.52,70.21,1.25,66.67,17.12,18.0,0.0,0.0,0.14,0.0,0.0,1.39,50.0,3.19,52.17,0.14,0.0,0.28,1.39,2.5,88.89,Forward
G. Sepúlveda,Guadalajara,"CB, RCB",27.0,4000000,2028-06-30,9,534,0,0.12,Mexico,Mexico,direito,182,78,sim,6.07,6.24,56.76,4.04,62.5,0.17,0.24,0.51,2.36,3.36,2.53,2.0,0.34,0.0,0.0,0.17,0.0,0.0,0.0,0.02,0.0,0.0,2.0,0.34,0.0,0.0,0.0,0.0,0.22,0.04,0.0,0.0,0.17,100.0,0.84,60.0,0.51,0.0,33.37,85.35,15.67,72.04,3.2,100.0,12.64,98.67,4.04,37.5,17.6,20.75,0.0,0.0,0.0,0.0,0.17,2.19,38.46,0.51,0.0,0.34,0.0,0.17,0.0,6.07,50.0,Defender
S. Vegas,León,LCB,29.0,4000000,2028-06-30,8,775,0,0.11,Chile,Chile,esquerdo,180,75,sim,10.34,6.5,62.5,3.83,48.48,0.93,1.27,0.81,5.34,7.3,1.51,3.0,0.35,1.0,0.12,0.81,0.0,0.0,0.0,0.01,0.0,0.0,2.0,0.23,100.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.46,100.0,1.86,56.25,0.0,0.12,39.02,84.52,17.3,75.84,1.86,87.5,15.33,93.18,6.97,53.33,21.62,37.96,0.0,0.0,0.0,0.0,0.0,3.95,70.59,0.23,100.0,0.23,50.0,0.12,0.12,9.06,61.54,Defender
B. García,Pachuca,"LB, RB",28.0,4000000,2026-06-30,26,2224,1,0.75,Mexico,Mexico,direito,170,62,sim,6.6,4.25,65.71,1.01,40.0,0.0,0.0,0.08,3.8,4.98,0.32,0.0,0.0,1.0,0.04,1.38,0.04,1.0,0.04,0.03,0.0,0.0,14.0,0.57,14.29,7.143,2.0,0.08,0.83,0.03,1.66,39.02,1.09,59.26,3.32,42.68,1.13,1.82,39.13,84.28,14.81,75.96,5.63,97.12,12.63,87.82,4.73,59.83,18.41,34.81,0.04,0.08,0.08,0.0,0.32,5.42,76.12,2.23,50.91,0.36,11.11,0.49,0.65,8.21,76.85,Defender
S. Simón,Toluca,"RB, RAMF",23.0,4000000,2029-06-30,22,1696,0,0.39,Argentina,Argentina,direito,181,74,sim,6.37,6.58,62.1,0.85,37.5,0.11,0.16,0.11,2.18,3.18,1.33,3.0,0.16,0.0,0.0,2.02,0.0,0.0,0.0,0.02,0.0,0.0,7.0,0.37,14.29,0.0,3.0,0.16,3.86,0.2,2.87,33.33,1.33,68.0,4.83,31.87,0.58,1.59,41.82,82.61,10.77,71.43,10.24,94.3,13.9,83.59,2.65,42.0,18.44,35.31,0.0,0.11,0.11,100.0,0.74,4.83,74.73,3.34,49.21,0.48,33.33,0.9,1.17,8.33,76.43,Forward
J. Gallardo,Toluca,LB,31.0,4000000,2027-06-30,29,2741,5,4.7,Mexico,Mexico,esquerdo,176,73,sim,6.8,5.71,55.17,3.09,55.32,0.03,0.05,0.03,3.61,5.37,1.31,12.0,0.39,0.0,0.0,2.13,0.16,4.0,0.13,0.15,3.0,0.1,36.0,1.18,33.33,13.889,2.0,0.07,4.15,0.14,2.59,24.05,2.13,52.31,3.74,44.74,2.3,1.81,41.54,80.87,10.87,69.49,9.26,94.68,14.84,84.51,4.04,49.59,19.86,40.98,0.07,0.03,0.0,0.0,0.59,4.53,67.39,2.17,39.39,0.33,20.0,0.76,0.66,8.24,75.7,Defender
J. Cortizo,León,"RAMF, LAMF, RW",29.0,4000000,2028-07-31,21,939,0,1.26,Mexico,"Mexico, Spain",esquerdo,172,69,sim,4.31,4.98,46.15,0.86,22.22,0.19,0.3,0.0,1.82,2.84,1.05,4.0,0.38,0.0,0.0,4.31,0.0,0.0,0.0,0.12,0.0,0.0,21.0,2.01,14.29,0.0,0.0,0.0,1.56,0.15,2.88,36.67,5.85,50.82,17.25,47.78,2.01,2.49,41.5,82.22,10.16,71.7,6.61,94.2,14.86,83.23,2.01,38.1,17.56,19.81,0.0,0.0,0.19,0.0,0.1,4.22,65.91,2.68,57.14,0.38,0.0,1.05,1.05,5.18,85.19,Forward
