player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,position_group
D. Páez,Inter Bogotá,"LCB, LB",25.0,50000,,23,2106,0,0.34,Colombia,Colombia,,0,0,sim,9.19,5.73,64.18,2.35,52.73,0.34,0.43,0.64,5.17,6.49,0.9,2.0,0.09,0.0,0.0,0.6,0.0,0.0,0.0,0.01,0.0,0.0,14.0,0.6,14.29,0.0,0.0,0.0,0.32,0.01,0.6,35.71,0.51,50.0,1.5,42.86,0.26,0.94,38.63,77.99,19.74,68.61,2.74,92.19,12.99,89.47,9.44,47.96,24.54,42.1,0.09,0.0,0.04,100.0,0.09,6.41,43.33,1.32,25.81,0.64,46.67,0.26,0.21,9.44,69.68,Defender
R. Sánchez,,GK,42.0,50000,,26,2550,0,0.0,Colombia,Colombia,direito,186,80,sim,1.59,0.11,33.33,0.32,88.89,0.04,0.06,0.0,1.52,2.39,0.04,4.0,0.14,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,77.78,0.0,0.0,13.62,89.12,7.69,82.11,0.0,0.0,5.29,99.33,3.99,65.49,28.89,45.83,0.0,0.0,0.0,0.0,0.0,0.81,52.17,0.04,0.0,0.0,0.0,0.0,0.0,3.28,75.27,Goalkeeper
J. Ascanio,Real Santander,"RW, RAMF, RWF",25.0,50000,,11,692,2,1.69,Colombia,Colombia,,0,0,sim,4.42,4.94,65.79,0.26,0.0,0.13,0.19,0.0,1.04,1.48,1.04,5.0,0.65,0.0,0.0,7.8,0.26,2.0,0.26,0.22,0.0,0.0,37.0,4.81,27.03,5.405,3.0,0.39,0.88,0.11,7.67,23.73,6.24,75.0,11.45,59.09,2.21,3.25,28.35,63.3,7.67,64.41,3.77,100.0,11.97,54.35,3.64,39.29,21.8,37.76,0.0,0.13,0.13,0.0,0.65,4.16,62.5,6.24,29.17,0.13,0.0,0.26,1.69,5.59,76.74,Forward
M. Jiménez,Deportes Quindío,GK,30.0,50000,,19,1864,0,0.0,Colombia,Colombia,,178,0,sim,0.87,0.0,0.0,0.48,100.0,0.0,0.0,0.0,0.87,1.24,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,91.88,7.58,86.62,0.0,0.0,5.17,99.07,4.01,75.9,32.36,46.89,0.0,0.0,0.0,0.0,0.0,1.01,61.9,0.0,0.0,0.0,0.0,0.0,0.0,3.43,83.1,Goalkeeper
C. Marrugo,,"RCMF, RDMF, AMF",40.0,50000,,31,2438,3,2.4,Colombia,Colombia,direito,176,71,sim,6.64,6.87,57.53,1.55,26.19,0.07,0.11,0.3,2.62,3.74,1.26,4.0,0.15,0.0,0.0,1.18,0.11,3.0,0.11,0.09,0.0,0.0,26.0,0.96,26.92,11.538,3.0,0.11,3.24,0.12,0.89,54.17,0.55,53.33,3.88,25.71,0.96,1.88,53.01,85.17,20.71,75.58,6.24,95.27,17.94,91.77,6.9,54.55,19.08,36.08,0.07,0.0,0.3,50.0,0.33,12.22,72.21,3.8,54.37,1.62,38.64,1.66,0.48,10.41,84.75,Midfielder
J. Barriosnuevo,Atlético,LCB,34.0,50000,,8,779,1,0.32,Colombia,Colombia,esquerdo,184,78,sim,8.55,4.51,64.1,4.85,73.81,0.12,0.15,0.46,5.55,7.06,0.58,0.0,0.0,0.0,0.0,0.35,0.12,1.0,0.12,0.04,0.0,0.0,9.0,1.04,11.11,11.111,0.0,0.0,0.3,0.03,0.23,0.0,0.46,50.0,2.2,26.32,0.46,0.58,27.96,75.21,17.1,70.95,1.16,90.0,6.93,88.33,8.66,56.0,26.28,41.74,0.0,0.0,0.0,0.0,0.0,7.39,50.0,0.58,20.0,0.12,0.0,0.23,0.0,9.59,73.49,Defender
S. Hernández,Independiente Yumbo,"AMF, RCMF, CF",39.0,50000,,36,2348,2,2.15,Colombia,Colombia,direito,177,74,sim,2.8,1.88,77.55,0.96,56.0,0.08,0.11,0.0,1.26,1.87,0.15,1.0,0.04,0.0,0.0,1.15,0.08,2.0,0.08,0.08,1.0,0.04,26.0,1.0,26.92,7.692,9.0,0.34,3.98,0.15,1.76,30.43,0.65,52.94,2.64,42.03,1.49,1.61,45.84,81.02,16.67,69.66,7.67,93.5,13.61,85.07,4.1,63.55,18.23,32.29,0.08,0.08,0.5,0.0,0.42,8.89,70.26,2.95,42.86,1.0,30.77,1.19,0.46,8.36,81.65,Forward
V. Ibarbo,Internacional Palmira,"CF, LAMF, LW",35.0,50000,,36,3104,5,6.92,Colombia,Colombia,direito,188,79,sim,3.33,2.99,49.51,3.68,44.09,0.03,0.04,0.09,1.83,2.47,1.36,10.0,0.29,0.0,0.0,2.7,0.14,2.0,0.06,0.2,0.0,0.0,35.0,1.01,31.43,14.286,6.0,0.17,3.06,0.09,1.51,40.38,3.13,55.56,10.84,41.18,1.88,1.13,20.53,75.0,4.93,65.88,4.67,89.44,7.13,70.73,2.49,58.14,18.22,34.07,0.03,0.03,0.09,33.33,0.35,3.42,67.8,2.15,47.3,0.41,35.71,0.93,0.55,3.6,80.65,Forward
A. Cadavid,Internacional Palmira,GK,34.0,50000,,28,2719,0,0.0,Colombia,Colombia,esquerdo,179,69,sim,1.52,0.13,75.0,0.33,80.0,0.0,0.0,0.03,1.42,1.88,0.0,4.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,60.0,0.0,0.0,11.95,81.72,7.35,71.62,0.0,0.0,4.47,97.78,4.8,55.86,33.63,45.16,0.0,0.0,0.0,0.0,0.0,1.32,35.0,0.0,0.0,0.03,0.0,0.0,0.0,3.28,73.74,Goalkeeper
F. Mendoza,Real Santander,"LCMF, AMF",24.0,50000,,19,1140,4,3.9,Colombia,Colombia,,0,0,sim,8.05,7.42,58.51,1.34,17.65,1.11,1.51,0.16,2.61,3.55,1.5,3.0,0.24,0.0,0.0,3.87,0.32,3.0,0.24,0.31,0.0,0.0,38.0,3.0,44.74,10.526,2.0,0.16,1.97,0.16,0.87,36.36,3.63,52.17,9.39,42.02,1.58,2.21,38.29,78.76,15.39,67.69,5.53,91.43,12.55,84.28,5.05,43.75,21.48,40.54,0.0,0.0,0.63,50.0,0.55,8.84,66.96,2.37,46.67,1.58,30.0,0.95,0.32,8.21,81.73,Midfielder
J. Mora,Real Santander,GK,28.0,50000,,14,1383,0,0.0,Colombia,Colombia,direito,190,86,sim,0.98,0.2,100.0,0.52,100.0,0.0,0.0,0.0,0.78,1.02,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,100.0,0.0,0.0,19.39,78.19,11.84,67.58,0.0,0.0,7.03,96.3,9.18,57.45,34.05,47.0,0.0,0.0,0.0,0.0,0.0,1.76,48.15,0.07,0.0,0.2,33.33,0.0,0.0,6.12,68.09,Goalkeeper
F. Rodríguez,Atlético Huila,"RCB, CB",38.0,50000,,18,1441,2,0.25,Colombia,Colombia,direito,183,88,sim,5.81,2.81,53.33,2.0,46.88,0.31,0.46,0.5,4.0,5.89,0.87,1.0,0.06,0.0,0.0,0.31,0.12,2.0,0.12,0.02,1.0,0.06,4.0,0.25,50.0,50.0,0.0,0.0,0.68,0.04,0.12,50.0,0.19,66.67,1.06,58.82,0.37,0.56,56.21,90.33,24.73,83.33,3.56,94.74,23.55,95.49,7.62,58.2,21.01,43.33,0.0,0.0,0.0,0.0,0.06,5.37,60.47,1.44,34.78,1.0,37.5,0.44,0.06,8.87,76.76,Defender
E. Balanta,Atlético,"RCMF, RCB, DMF",30.0,50000,,21,1905,0,0.13,Colombia,Colombia,,184,0,sim,7.04,6.66,56.74,2.88,55.74,0.38,0.5,0.24,2.88,3.82,2.5,9.0,0.43,0.0,0.0,0.28,0.0,0.0,0.0,0.01,0.0,0.0,8.0,0.38,12.5,0.0,0.0,0.0,0.56,0.03,0.28,33.33,0.38,37.5,2.79,37.29,0.33,0.24,41.1,87.82,13.84,76.45,5.2,91.82,16.68,94.33,4.58,62.89,20.02,36.22,0.14,0.0,0.09,0.0,0.0,7.46,75.32,0.71,33.33,0.24,20.0,0.24,0.14,6.19,84.73,Midfielder
