player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,free_kicks_p90,direct_free_kicks_p90,direct_fk_on_target_pct,corners_p90,penalties_p90,penalties_conversion_pct,position_group
Samu Omorodion,Porto,CF,21,0,2029-06-30,20,1499,13,12.32,Spain,"Spain, Nigeria",direito,193,80,sim,2.22,2.34,48.72,2.64,43.18,0.0,0.0,0.0,1.08,1.75,1.14,3,0.18,0,0.0,3.36,0.78,8,0.48,0.74,2,0.12,51,3.06,64.71,25.49,0,0.0,0.5,0.03,0.54,11.11,2.4,55.0,10.87,33.15,3.9,0.72,14.59,74.49,2.34,64.1,4.2,84.29,4.5,72.0,0.48,87.5,15.97,12.96,0.0,0.06,0.12,0.0,0.12,1.44,58.33,0.78,53.85,0.06,0.0,0.66,0.06,1.56,65.38,0.0,0.0,0.0,0.12,6,83.333,Forward
D. Prpić,Porto,"LCB, LB",21,0,2030-06-30,5,122,0,0.0,Croatia,Croatia,esquerdo,188,78,sim,8.11,5.9,50.0,2.95,75.0,0.74,1.03,0.74,4.43,6.21,0.74,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,50.0,0.0,1.48,48.69,72.73,16.97,47.83,2.21,100.0,21.39,89.66,8.11,18.18,20.39,29.74,0.0,0.0,0.0,0.0,0.0,11.8,37.5,1.48,0.0,2.21,0.0,0.74,0.0,8.85,75.0,0.0,0.0,0.0,0.0,0,0.0,Defender
D. Gül,Porto,CF,21,0,2029-06-30,20,705,2,2.7,Sweden,"Sweden, Türkiye",direito,190,82,sim,2.17,3.45,48.15,6.38,32.0,0.0,0.0,0.0,0.51,0.73,2.43,2,0.26,0,0.0,1.53,0.26,2,0.26,0.35,1,0.13,12,1.53,58.33,16.667,0,0.0,0.66,0.08,0.13,0.0,1.53,41.67,8.43,27.27,3.06,1.66,10.72,77.38,2.43,68.42,3.32,84.62,1.91,53.33,0.13,100.0,12.01,2.82,0.0,0.0,0.0,0.0,0.38,0.26,50.0,0.77,66.67,0.0,0.0,0.89,0.0,0.38,66.67,0.0,0.0,0.0,0.0,0,0.0,Forward
Alberto Costa,Porto,RB,22,0,2030-06-30,22,1785,0,1.13,Portugal,Portugal,direito,186,78,sim,9.23,7.82,60.0,2.37,61.7,0.3,0.45,0.3,4.24,6.28,2.02,5,0.25,0,0.0,2.12,0.0,0,0.0,0.06,0,0.0,14,0.71,28.57,0.0,5,0.25,2.88,0.15,2.62,25.0,2.62,48.08,6.4,36.22,1.21,1.66,32.97,78.75,9.78,65.98,6.2,96.75,10.29,82.35,2.37,40.43,18.1,31.27,0.05,0.0,0.1,0.0,0.55,3.08,54.1,2.47,28.57,0.1,0.0,0.4,0.66,4.94,63.27,0.0,0.0,0.0,0.05,0,0.0,Defender
V. Froholdt,Porto,RCMF,20,0,2030-06-30,25,2349,4,4.25,Denmark,Denmark,direito,187,0,sim,6.93,5.79,65.56,2.61,47.06,0.04,0.06,0.46,3.1,4.69,1.19,2,0.08,0,0.0,1.3,0.15,4,0.15,0.16,1,0.04,25,0.96,24.0,16.0,2,0.08,1.86,0.07,0.8,23.81,1.53,55.0,6.02,38.85,1.99,1.8,22.84,85.4,6.02,77.71,6.25,92.02,5.79,87.42,0.46,66.67,14.56,12.78,0.0,0.0,0.04,100.0,0.31,1.99,78.85,0.88,60.87,0.04,100.0,0.46,0.19,2.11,58.18,0.0,0.0,0.0,0.04,0,0.0,Midfielder
J. Kiwior,Porto,LCB,26,0,2028-06-30,18,1756,0,0.98,Poland,Poland,esquerdo,189,75,sim,7.64,4.66,76.92,2.72,62.26,0.1,0.15,0.56,3.95,5.95,0.56,1,0.05,0,0.0,0.21,0.0,0,0.0,0.05,0,0.0,10,0.51,20.0,0.0,0,0.0,0.28,0.01,0.1,50.0,0.15,33.33,0.77,40.0,0.51,1.44,73.65,90.74,30.5,81.68,4.25,96.39,30.96,98.51,6.51,51.18,19.2,41.26,0.0,0.05,0.0,0.0,0.1,12.1,71.19,1.28,24.0,1.13,31.82,0.21,0.05,11.63,82.82,0.05,0.05,0.0,0.0,0,0.0,Defender
O. Pietuszewski,Porto,"LWF, LW",17,0,2029-01-05,7,345,2,0.77,Poland,Poland,direito,0,0,sim,5.56,7.2,50.0,1.31,75.0,0.98,1.45,0.0,0.98,1.45,1.64,1,0.26,0,0.0,7.53,0.52,1,0.33,0.25,0,0.0,5,1.64,60.0,20.0,1,0.33,0.72,0.24,3.6,45.45,9.49,48.28,17.02,38.46,3.6,6.55,21.6,69.7,5.24,68.75,4.58,78.57,9.49,65.52,1.64,20.0,22.79,27.01,0.33,0.0,0.33,100.0,0.65,2.62,75.0,5.56,64.71,0.33,100.0,2.95,1.64,4.91,86.67,0.0,0.0,0.0,0.0,0,0.0,Forward
Rodrigo Mora,Porto,"LCMF, AMF",18,0,2030-06-30,20,958,1,2.3,Portugal,Portugal,direito,168,60,sim,6.39,5.07,72.22,1.22,30.77,0.19,0.31,0.28,2.54,4.18,0.38,0,0.0,0,0.0,2.82,0.09,1,0.09,0.22,0,0.0,24,2.25,20.83,4.167,0,0.0,2.7,0.25,1.88,25.0,3.76,50.0,8.92,31.58,3.57,2.25,29.87,77.99,7.42,64.56,8.92,92.63,8.46,81.11,1.5,56.25,16.85,15.46,0.19,0.0,0.47,0.0,0.66,2.35,72.0,2.25,54.17,0.28,0.0,1.13,0.47,3.1,63.64,1.03,0.0,0.0,2.54,0,0.0,Midfielder
William Gomes,Porto,"RWF, RW, RAMF",19,0,2029-06-30,21,1007,6,4.1,Brazil,Brazil,esquerdo,170,64,sim,6.33,6.23,51.52,1.79,10.53,0.57,0.94,0.09,2.55,4.24,2.08,4,0.36,1,0.09,6.33,0.54,5,0.47,0.39,0,0.0,32,3.02,46.88,18.75,1,0.09,0.78,0.07,3.4,22.22,7.46,55.7,12.75,45.19,3.02,3.59,22.57,64.44,6.52,56.52,4.16,93.18,8.41,60.67,1.61,64.71,17.28,24.73,0.09,0.0,0.38,0.0,0.28,2.27,45.83,3.68,28.21,0.38,0.0,1.04,0.57,4.16,77.27,0.19,0.0,0.0,1.04,1,100.0,Forward
Martim Fernandes,Porto,"RB, LB",20,0,2030-06-30,15,908,1,0.04,Portugal,Portugal,direito,181,67,sim,8.54,6.94,66.15,2.46,52.17,0.32,0.49,0.11,3.63,5.51,1.07,3,0.3,1,0.1,2.46,0.1,1,0.11,0.0,0,0.0,2,0.21,100.0,50.0,0,0.0,0.81,0.09,3.1,34.48,1.71,62.5,3.95,48.65,0.43,1.49,39.29,79.62,13.35,68.8,6.94,98.46,12.7,84.03,4.06,50.0,20.44,39.85,0.0,0.0,0.11,100.0,0.32,4.48,61.9,3.31,48.39,0.75,28.57,0.75,1.07,6.51,72.13,0.0,0.0,0.0,0.0,0,0.0,Defender
Gabri Veiga,Porto,LCMF,23,0,2030-06-30,23,1295,1,3.64,Spain,Spain,direito,184,77,sim,6.01,6.81,58.51,1.01,28.57,0.36,0.56,0.0,1.67,2.57,1.38,4,0.28,0,0.0,1.52,0.07,1,0.07,0.26,0,0.0,31,2.24,32.26,3.226,4,0.29,2.8,0.2,1.16,12.5,1.52,42.86,5.14,35.21,2.97,1.01,32.37,79.64,9.41,60.0,8.18,95.58,8.54,85.59,1.09,40.0,16.4,15.63,0.0,0.07,0.07,0.0,0.14,3.4,70.21,1.95,37.04,0.29,0.0,0.8,0.14,3.98,70.91,1.74,0.43,16.67,4.2,0,0.0,Midfielder
Borja Sainz,Porto,"LWF, LW, LAMF",25,0,2030-06-30,23,1487,5,4.85,Spain,Spain,direito,174,75,sim,6.82,6.08,53.06,0.87,42.86,0.43,0.67,0.06,3.16,4.9,1.49,5,0.3,0,0.0,2.85,0.3,5,0.31,0.3,1,0.06,40,2.48,35.0,12.5,0,0.0,0.86,0.05,1.36,22.73,3.85,43.55,9.61,33.55,3.29,2.17,23.2,78.34,5.4,68.97,6.7,90.74,6.45,75.0,0.74,50.0,15.57,13.26,0.06,0.0,0.0,0.0,0.12,1.98,75.0,2.17,62.86,0.0,0.0,1.24,0.31,4.22,76.47,0.0,0.0,0.0,0.06,0,0.0,Forward
